delivery_id,order_id,order_type,carrier_id,expected_date,actual_date,status
1,SO0001,SALE,CR002,2025-06-15,2025-06-15,On Time
2,SO0002,SALE,CR004,2025-02-10,2025-02-11,Delayed
3,SO0003,SALE,CR002,2025-04-22,2025-04-29,Delayed
4,SO0004,SALE,CR003,2025-05-14,2025-05-14,On Time
5,SO0005,SALE,CR003,2025-06-18,2025-06-20,Delayed
6,SO0006,SALE,CR002,2025-03-15,2025-03-15,On Time
7,SO0007,SALE,CR003,2025-03-31,2025-03-31,On Time
8,SO0008,SALE,CR001,2025-03-31,2025-03-31,On Time
9,SO0009,SALE,CR004,2025-04-01,2025-03-31,On Time
10,SO0010,SALE,CR002,2025-05-20,2025-05-20,On Time
11,SO0011,SALE,CR003,2025-03-22,2025-03-21,On Time
12,SO0012,SALE,CR004,2025-07-02,2025-07-09,Delayed
13,SO0013,SALE,CR002,2025-01-24,2025-01-25,Delayed
14,SO0014,SALE,CR001,2025-05-02,2025-05-02,On Time
15,SO0015,SALE,CR003,2025-06-23,2025-06-23,On Time
16,SO0016,SALE,CR002,2025-02-16,2025-02-16,On Time
17,SO0017,SALE,CR005,2025-04-11,2025-04-11,On Time
18,SO0018,SALE,CR002,2025-03-27,2025-03-28,Delayed
19,SO0019,SALE,CR002,2025-04-18,2025-04-18,On Time
20,SO0020,SALE,CR005,2025-05-29,2025-06-03,Delayed
21,SO0021,SALE,CR001,2025-06-19,2025-06-22,Delayed
22,SO0022,SALE,CR001,2025-05-26,2025-05-26,On Time
23,SO0023,SALE,CR004,2025-06-04,2025-06-04,On Time
24,SO0024,SALE,CR002,2025-02-09,2025-02-11,Delayed
25,SO0025,SALE,CR002,2025-02-02,2025-02-03,Delayed
26,SO0026,SALE,CR001,2025-04-23,2025-04-25,Delayed
27,SO0027,SALE,CR005,2025-05-04,2025-05-04,On Time
28,SO0028,SALE,CR003,2025-01-06,2025-01-08,Delayed
29,SO0029,SALE,CR002,2025-06-16,2025-06-18,Delayed
30,SO0030,SALE,CR002,2025-05-02,2025-05-02,On Time
31,SO0031,SALE,CR001,2025-02-20,2025-02-21,Delayed
32,SO0032,SALE,CR003,2025-03-20,2025-03-27,Delayed
33,SO0033,SALE,CR005,2025-02-14,2025-02-14,On Time
34,SO0034,SALE,CR002,2025-06-08,2025-06-08,On Time
35,SO0035,SALE,CR001,2025-04-08,2025-04-13,Delayed
36,SO0036,SALE,CR001,2025-05-28,2025-05-29,Delayed
37,SO0037,SALE,CR001,2025-05-21,2025-05-21,On Time
38,SO0038,SALE,CR005,2025-02-17,2025-02-18,Delayed
39,SO0039,SALE,CR004,2025-03-01,2025-03-01,On Time
40,SO0040,SALE,CR005,2025-04-15,2025-04-16,Delayed
41,SO0041,SALE,CR003,2025-03-08,2025-03-08,On Time
42,SO0042,SALE,CR002,2025-05-24,2025-05-25,Delayed
43,SO0043,SALE,CR004,2025-06-14,2025-06-15,Delayed
44,SO0044,SALE,CR004,2025-03-28,2025-03-28,On Time
45,SO0045,SALE,CR001,2025-05-08,2025-05-08,On Time
46,SO0046,SALE,CR005,2025-06-01,2025-06-01,On Time
47,SO0047,SALE,CR002,2025-04-17,2025-04-17,On Time
48,SO0048,SALE,CR002,2025-04-03,2025-04-02,On Time
49,SO0049,SALE,CR003,2025-01-16,2025-01-16,On Time
50,SO0050,SALE,CR002,2025-02-01,2025-02-01,On Time
51,SO0051,SALE,CR001,2025-02-09,2025-02-11,Delayed
52,SO0052,SALE,CR004,2025-01-22,2025-01-22,On Time
53,SO0053,SALE,CR003,2025-06-20,2025-06-21,Delayed
54,SO0054,SALE,CR005,2025-03-04,2025-03-05,Delayed
55,SO0055,SALE,CR005,2025-04-17,2025-04-17,On Time
56,SO0056,SALE,CR003,2025-04-13,2025-04-13,On Time
57,SO0057,SALE,CR001,2025-06-30,2025-07-03,Delayed
58,SO0058,SALE,CR001,2025-03-20,2025-03-22,Delayed
59,SO0059,SALE,CR001,2025-01-18,2025-01-21,Delayed
60,SO0060,SALE,CR003,2025-05-12,2025-05-11,On Time
61,SO0061,SALE,CR002,2025-01-26,2025-01-31,Delayed
62,SO0062,SALE,CR004,2025-03-04,2025-03-05,Delayed
63,SO0063,SALE,CR004,2025-06-05,2025-06-05,On Time
64,SO0064,SALE,CR001,2025-06-03,2025-06-03,On Time
65,SO0065,SALE,CR001,2025-02-26,2025-02-26,On Time
66,SO0066,SALE,CR005,2025-06-24,2025-06-24,On Time
67,SO0067,SALE,CR001,2025-01-21,2025-01-26,Delayed
68,SO0068,SALE,CR003,2025-01-31,2025-02-03,Delayed
69,SO0069,SALE,CR004,2025-02-07,2025-02-07,On Time
70,SO0070,SALE,CR003,2025-04-07,2025-04-07,On Time
