movement_id,movement_date,product_id,warehouse_id,movement_type,quantity
M00001,2025-01-26,P009,W003,IN,128
M00002,2025-05-01,P014,W003,IN,75
M00003,2025-02-01,P012,W001,IN,48
M00004,2025-06-28,P019,W001,IN,98
M00005,2025-04-16,P020,W004,IN,21
M00006,2025-02-28,P005,W001,IN,94
M00007,2025-01-10,P016,W004,IN,64
M00008,2025-05-21,P008,W003,IN,38
M00009,2025-01-13,P014,W001,IN,137
M00010,2025-03-28,P019,W001,IN,123
M00011,2025-04-24,P010,W003,IN,123
M00012,2025-04-03,P006,W004,IN,112
M00013,2025-02-01,P008,W004,IN,122
M00014,2025-04-18,P010,W002,IN,76
M00015,2025-02-16,P003,W003,IN,150
M00016,2025-04-04,P012,W004,IN,80
M00017,2025-03-13,P007,W002,IN,59
M00018,2025-06-19,P003,W003,IN,146
M00019,2025-05-31,P019,W002,IN,102
M00020,2025-06-14,P011,W004,IN,132
M00021,2025-05-02,P010,W003,IN,34
M00022,2025-01-22,P010,W004,IN,135
M00023,2025-04-08,P010,W002,IN,43
M00024,2025-05-14,P013,W004,IN,30
M00025,2025-06-03,P007,W002,IN,141
M00026,2025-01-18,P015,W003,IN,107
M00027,2025-01-30,P017,W002,IN,30
M00028,2025-05-02,P015,W003,IN,113
M00029,2025-03-21,P013,W003,IN,106
M00030,2025-01-16,P011,W003,IN,104
M00031,2025-06-30,P013,W002,IN,84
M00032,2025-06-20,P020,W001,IN,105
M00033,2025-06-28,P005,W003,IN,99
M00034,2025-07-02,P013,W004,IN,41
M00035,2025-04-17,P011,W003,IN,43
M00036,2025-04-22,P017,W003,IN,24
M00037,2025-02-23,P007,W002,IN,144
M00038,2025-02-10,P005,W002,IN,95
M00039,2025-02-04,P017,W002,IN,106
M00040,2025-06-17,P005,W003,IN,59
M00041,2025-07-05,P020,W004,IN,132
M00042,2025-04-14,P008,W002,IN,92
M00043,2025-04-30,P008,W001,IN,99
M00044,2025-05-11,P007,W004,IN,132
M00045,2025-03-24,P013,W003,IN,61
M00046,2025-06-07,P005,W001,IN,33
M00047,2025-04-08,P018,W002,IN,51
M00048,2025-02-21,P009,W002,IN,57
M00049,2025-01-28,P008,W003,IN,109
M00050,2025-04-27,P002,W004,IN,148
M00051,2025-04-12,P003,W002,IN,77
M00052,2025-02-04,P011,W001,IN,55
M00053,2025-05-11,P005,W004,IN,134
M00054,2025-01-23,P001,W004,IN,75
M00055,2025-05-25,P020,W004,IN,48
M00056,2025-03-11,P010,W001,IN,32
M00057,2025-06-23,P020,W004,IN,36
M00058,2025-05-14,P020,W001,IN,81
M00059,2025-03-24,P014,W003,IN,110
M00060,2025-04-19,P006,W002,IN,112
M00061,2025-05-18,P018,W001,IN,119
M00062,2025-01-20,P013,W003,IN,84
M00063,2025-04-05,P003,W001,IN,81
M00064,2025-06-13,P004,W004,IN,54
M00065,2025-05-22,P011,W003,IN,138
M00066,2025-05-11,P006,W002,IN,36
M00067,2025-05-02,P002,W004,IN,71
M00068,2025-02-28,P002,W004,IN,99
M00069,2025-05-29,P016,W004,IN,29
M00070,2025-02-26,P010,W001,IN,32
M00071,2025-04-05,P009,W002,IN,114
