purchase_id,order_date,supplier_id,product_id,quantity,purchase_price
PO0001,2025-01-21,S008,P009,128,582.76
PO0002,2025-04-24,S005,P014,75,14.42
PO0003,2025-01-30,S007,P012,48,459.32
PO0004,2025-06-23,S008,P019,98,138.41
PO0005,2025-04-12,S001,P020,21,124.36
PO0006,2025-02-24,S005,P005,94,515.25
PO0007,2025-01-02,S007,P016,64,81.1
PO0008,2025-05-17,S006,P008,38,102.12
PO0009,2025-01-11,S001,P014,137,15.02
PO0010,2025-03-22,S007,P019,123,166.3
PO0011,2025-04-17,S002,P010,123,621.46
PO0012,2025-03-25,S008,P006,112,56.75
PO0013,2025-01-28,S007,P008,122,105.67
PO0014,2025-04-12,S006,P010,76,680.78
PO0015,2025-02-13,S002,P003,150,1239.81
PO0016,2025-03-31,S003,P012,80,435.86
PO0017,2025-03-07,S003,P007,59,44.11
PO0018,2025-06-17,S003,P003,146,1337.02
PO0019,2025-05-25,S008,P019,102,172.8
PO0020,2025-06-10,S003,P011,132,212.37
PO0021,2025-04-24,S005,P010,34,684.37
PO0022,2025-01-19,S008,P010,135,624.65
PO0023,2025-04-05,S002,P010,43,734.35
PO0024,2025-05-10,S008,P013,30,55.5
PO0025,2025-05-27,S006,P007,141,41.27
PO0026,2025-01-16,S002,P015,107,80.42
PO0027,2025-01-22,S003,P017,30,15.39
PO0028,2025-04-23,S003,P015,113,68.83
PO0029,2025-03-14,S007,P013,106,58.93
PO0030,2025-01-14,S002,P011,104,214.05
PO0031,2025-06-23,S005,P013,84,59.61
PO0032,2025-06-18,S003,P020,105,119.93
PO0033,2025-06-19,S006,P005,99,607.35
PO0034,2025-06-28,S003,P013,41,53.39
PO0035,2025-04-07,S003,P011,43,249.35
PO0036,2025-04-19,S006,P017,24,15.9
PO0037,2025-02-16,S006,P007,144,37.86
PO0038,2025-02-05,S002,P005,95,589.6
PO0039,2025-01-26,S001,P017,106,18.16
PO0040,2025-06-08,S007,P005,59,491.36
PO0041,2025-06-27,S003,P020,132,118.57
PO0042,2025-04-04,S008,P008,92,112.07
PO0043,2025-04-25,S004,P008,99,118.04
PO0044,2025-05-01,S006,P007,132,40.83
PO0045,2025-03-14,S007,P013,61,61.0
PO0046,2025-06-04,S005,P005,33,560.33
PO0047,2025-04-06,S002,P018,51,24.75
PO0048,2025-02-11,S008,P009,57,636.64
PO0049,2025-01-24,S008,P008,109,117.05
PO0050,2025-04-17,S007,P002,148,1594.54
PO0051,2025-04-09,S006,P003,77,1180.15
PO0052,2025-01-26,S003,P011,55,210.45
PO0053,2025-05-01,S008,P005,134,556.61
PO0054,2025-01-21,S005,P001,75,2001.63
PO0055,2025-05-21,S007,P020,48,144.94
PO0056,2025-03-02,S002,P010,32,662.8
PO0057,2025-06-13,S008,P020,36,120.99
PO0058,2025-05-08,S001,P020,81,142.87
PO0059,2025-03-16,S001,P014,110,12.57
PO0060,2025-04-17,S002,P006,112,56.4
PO0061,2025-05-15,S001,P018,119,28.86
PO0062,2025-01-12,S006,P013,84,59.96
PO0063,2025-04-02,S006,P003,81,1433.86
PO0064,2025-06-10,S006,P004,54,342.61
PO0065,2025-05-20,S003,P011,138,270.77
PO0066,2025-05-03,S003,P006,36,67.42
PO0067,2025-04-28,S005,P002,71,1449.27
PO0068,2025-02-21,S006,P002,99,1656.77
PO0069,2025-05-20,S005,P016,29,96.08
PO0070,2025-02-18,S006,P010,32,782.0
PO0071,2025-03-26,S002,P009,114,575.16
PO0072,2025-04-13,S007,P015,106,80.25
PO0073,2025-05-08,S006,P016,88,97.23
PO0074,2025-04-19,S007,P003,66,1366.37
PO0075,2025-03-24,S002,P004,103,406.74
PO0076,2025-03-20,S007,P015,62,74.86
PO0077,2025-03-31,S001,P015,110,73.43
PO0078,2025-04-22,S001,P009,39,611.7
PO0079,2025-04-14,S003,P012,27,441.06
PO0080,2025-06-05,S001,P015,52,63.03
PO0081,2025-06-15,S006,P012,118,545.93
PO0082,2025-01-09,S003,P020,135,151.16
PO0083,2025-04-06,S002,P015,55,71.81
PO0084,2025-04-12,S005,P011,83,269.47
PO0085,2025-01-07,S008,P006,119,70.78
PO0086,2025-01-31,S005,P009,134,540.47
PO0087,2025-06-06,S008,P010,71,640.8
PO0088,2025-01-19,S003,P015,133,80.7
PO0089,2025-06-24,S006,P011,36,243.2
PO0090,2025-03-16,S003,P010,64,768.3
PO0091,2025-05-11,S002,P008,71,113.18
