sale_id,sale_date,customer_id,product_id,quantity,unit_price
SO0001,2025-06-13,C001,P004,9,510.55
SO0002,2025-02-05,C011,P004,18,499.88
SO0003,2025-04-19,C001,P002,3,2152.53
SO0004,2025-05-10,C001,P020,18,175.65
SO0005,2025-06-16,C007,P018,8,35.29
SO0006,2025-03-13,C013,P001,6,2549.86
SO0007,2025-03-29,C003,P009,7,838.06
SO0008,2025-03-28,C002,P004,13,500.54
SO0009,2025-03-30,C005,P020,2,188.08
SO0010,2025-05-18,C015,P004,13,499.33
SO0011,2025-03-17,C015,P020,12,184.51
SO0012,2025-06-30,C001,P003,8,1890.9
SO0013,2025-01-21,C014,P008,4,139.92
SO0014,2025-04-27,C003,P012,12,647.52
SO0015,2025-06-21,C012,P009,3,802.77
SO0016,2025-02-13,C012,P018,8,33.99
SO0017,2025-04-08,C015,P009,18,763.27
SO0018,2025-03-25,C004,P002,2,2320.24
SO0019,2025-04-13,C002,P009,7,833.59
SO0020,2025-05-26,C004,P011,16,320.46
SO0021,2025-06-14,C003,P015,9,91.97
SO0022,2025-05-24,C005,P018,19,35.2
SO0023,2025-05-30,C006,P013,8,80.97
SO0024,2025-02-05,C008,P017,3,23.06
SO0025,2025-01-29,C011,P005,6,758.14
SO0026,2025-04-19,C002,P020,13,179.93
SO0027,2025-04-30,C005,P017,18,23.36
SO0028,2025-01-03,C011,P004,18,544.76
SO0029,2025-06-14,C002,P011,10,322.09
SO0030,2025-04-27,C012,P001,9,2637.05
SO0031,2025-02-15,C015,P017,4,23.39
SO0032,2025-03-18,C010,P017,7,21.34
SO0033,2025-02-11,C013,P018,17,37.43
SO0034,2025-06-03,C008,P011,1,308.65
SO0035,2025-04-03,C004,P010,2,932.25
SO0036,2025-05-26,C002,P003,16,1900.95
SO0037,2025-05-17,C003,P005,16,772.63
SO0038,2025-02-12,C009,P009,20,783.91
SO0039,2025-02-24,C013,P018,7,36.49
SO0040,2025-04-13,C008,P012,17,655.65
SO0041,2025-03-05,C002,P008,11,133.38
